filename,original_filename,captured_at,daynight,label,burst_id,split,extended_label,burst_id_extended,split_extended
img_00fe1599.jpeg,WhatsApp Image 2026-09-22 at 12.43.02 (1).jpeg,2026-09-22T12:43:02,day,valid,b3,train,valid_day,b3,train
img_038799f8.jpeg,WhatsApp Image 2026-09-09 at 11.29.58 (1).jpeg,2026-09-09T11:29:58,day,valid,b2,train,valid_day,b2,train
img_04b1c902.jpeg,WhatsApp Image 2026-09-22 at 12.43.04 (1).jpeg,2026-09-22T12:43:04,day,valid,b3,train,valid_day,b3,train
img_04b6553a.jpeg,WhatsApp Image 2026-09-09 at 11.29.47.jpeg,2026-09-09T11:29:47,night,valid,b2,train,valid_night,b1,train
img_07a76f6a.jpeg,WhatsApp Image 2026-09-09 at 11.29.55 (3).jpeg,2026-09-09T11:29:55,day,valid,b2,train,valid_day,b2,train
img_1142579d.jpeg,WhatsApp Image 2026-09-22 at 12.43.06 (3).jpeg,2026-09-22T12:43:06,night,valid,b3,train,valid_night,b2,train
img_117bb8c6.jpeg,WhatsApp Image 2026-09-09 at 11.29.56.jpeg,2026-09-09T11:29:56,night,valid,b2,train,valid_night,b1,train
img_12b3d4ef.jpeg,WhatsApp Image 2026-09-09 at 11.29.47 (2).jpeg,2026-09-09T11:29:47,night,valid,b2,train,valid_night,b1,train
img_192e00ed.jpeg,WhatsApp Image 2026-09-09 at 11.29.54 (1).jpeg,2026-09-09T11:29:54,day,valid,b2,train,valid_day,b2,train
img_19385763.jpeg,WhatsApp Image 2026-09-22 at 12.43.03.jpeg,2026-09-22T12:43:03,day,valid,b3,train,valid_day,b3,train
img_22159b66.jpeg,WhatsApp Image 2026-09-22 at 12.42.57 (2).jpeg,2026-09-22T12:42:57,day,valid,b3,train,valid_day,b3,train
img_25f18fb2.jpeg,WhatsApp Image 2026-09-22 at 12.43.07 (2).jpeg,2026-09-22T12:43:07,day,valid,b3,train,valid_day,b3,train
img_2b991090.jpeg,WhatsApp Image 2026-09-22 at 12.43.04 (2).jpeg,2026-09-22T12:43:04,night,valid,b3,train,valid_night,b2,train
img_2e9ce7b5.jpeg,WhatsApp Image 2026-09-22 at 12.43.00 (3).jpeg,2026-09-22T12:43:00,night,valid,b3,train,valid_night,b2,train
img_327bd52b.jpeg,WhatsApp Image 2026-09-09 at 11.29.49 (3).jpeg,2026-09-09T11:29:49,day,valid,b2,train,valid_day,b2,train
img_372b89a7.jpeg,WhatsApp Image 2026-09-09 at 11.29.46.jpeg,2026-09-09T11:29:46,day,valid,b2,train,valid_day,b2,train
img_37b2d6dc.jpeg,WhatsApp Image 2026-09-09 at 11.29.43.jpeg,2026-09-09T11:29:43,day,valid,b2,train,valid_day,b2,train
img_3c66565b.jpeg,WhatsApp Image 2026-09-09 at 11.29.46 (3).jpeg,2026-09-09T11:29:46,day,valid,b2,train,valid_day,b2,train
img_41cdd824.jpeg,WhatsApp Image 2026-09-22 at 12.43.02.jpeg,2026-09-22T12:43:02,day,valid,b3,train,valid_day,b3,train
